arm,game,idx,iteration,parents,depth,train_score,is_ship,on_ship_lineage,status,err_rate,split,code_chars,code_lines,sloc,ast_nodes,n_frames,n_unique_outputs,set_ratio,decoy_collapse,mean_raw_chars,mean_out_chars,dl_ratio,diversity_bytes,raw_gzip_bytes,norm_diversity,info_extraction_ratio,lzma_ratio,twopart_ratio,pf_dl_gz_ratio,code_gzip_bytes,out_vocab,n_transitions,static_rate,change_ratio
Plain,7xf97,2,3,0,1,0.3333971631205674,0,1,ok,0.0,train,2583,79,58,380,73,73,1.0,0.0,2319.6575342465753,283.4931506849315,0.1222133640416925,1336,2044,0.6536203522504892,1.2467010882274054,0.7331786542923434,1.2309197651663406,3.057562487714866,1180,73,60,0.25,0.5874074074074074
Plain,7xf97,3,4,2,2,0.2017581560283688,0,1,ok,0.0,test,2583,79,58,380,65,65,1.0,,2319.476923076923,295.9076923076923,0.12757518273350754,1027,1735,0.5919308357348703,1.255440082685983,0.6648501362397821,1.2720461095100866,3.1458073994194145,1180,65,50,0.18,0.5934959349593496
Plain,7xf97,3,4,2,2,0.2017581560283688,0,1,ok,0.0,train,2583,79,58,380,73,73,1.0,0.0,2319.6575342465753,283.4931506849315,0.1222133640416925,1336,2044,0.6536203522504892,1.2467010882274054,0.7331786542923434,1.2309197651663406,3.057562487714866,1180,73,60,0.25,0.5874074074074074
Plain,7xf97,4,5,2,2,0.23012198581560284,0,0,ok,0.0,test,3337,96,71,499,65,65,1.0,,2319.476923076923,327.9076923076923,0.14137139673401164,1075,1735,0.6195965417867435,1.506291726928815,0.6811989100817438,1.4524495677233429,3.487505224734933,1445,65,50,0.18,0.5934959349593496
Plain,7xf97,4,5,2,2,0.23012198581560284,0,0,ok,0.0,train,3337,96,71,499,73,73,1.0,0.0,2319.6575342465753,315.4931506849315,0.13600850385330854,1396,2044,0.6829745596868885,1.4978014021869968,0.7494199535962877,1.389921722113503,3.4072347335993403,1445,73,60,0.25,0.5874074074074074
Plain,7xf97,5,6,1,2,0.2100808510638298,0,0,ok,0.0,test,3911,119,95,464,65,65,1.0,,2319.476923076923,467.0,0.2013384980698566,971,1735,0.5596541786743516,2.046844347123942,0.547683923705722,1.499135446685879,4.986652638198347,1630,67,50,0.18,0.5934959349593496
Plain,7xf97,5,6,1,2,0.2100808510638298,0,0,ok,0.0,train,3911,119,95,464,73,73,1.0,0.0,2319.6575342465753,467.0,0.2013228216257714,1157,2044,0.5660469667318982,2.083484403134551,0.5638051044083526,1.3635029354207437,5.103029338376545,1630,75,60,0.25,0.5874074074074074
Plain,7xf97,6,7,5,3,0.17009078014184398,0,0,ok,0.0,test,4017,125,96,578,65,65,1.0,,2319.476923076923,392.38461538461536,0.16916944138598888,1149,1735,0.6622478386167147,2.491039807842069,0.7193460490463215,1.5838616714697407,4.182397755007065,1599,145,50,0.18,1.2621951219512195
Plain,7xf97,6,7,5,3,0.17009078014184398,0,0,ok,0.0,train,4017,125,96,578,73,73,1.0,0.0,2319.6575342465753,384.3972602739726,0.16571293589630023,1487,2044,0.7274951076320939,2.5117325877127645,0.7819025522041764,1.509784735812133,4.175211016699595,1599,189,60,0.25,1.1444444444444444
Plain,7xf97,7,8,3,3,0.4251028368794326,0,1,ok,0.0,test,2583,79,58,380,65,65,1.0,,2319.476923076923,295.9076923076923,0.12757518273350754,1027,1735,0.5919308357348703,1.255440082685983,0.6648501362397821,1.2720461095100866,3.1458073994194145,1180,65,50,0.18,0.5934959349593496
